"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
"CD158D","KIR2DL4","103AS","15212","KIR103","KIR103AS",NA,NA,NA,NA,NA,NA,NA,NA
"CD243","ABCB1","ABC20","CLCS","GP170","MDR1","PGP","PGY1",NA,NA,NA,NA,NA,NA
"CD338","ABCG2","MRX","MXR","ABCP","BCRP","BMDP","MXR1","ABC15","BCRP1","CDW338","EST157481","MGC102821",NA
"CD143","ACE","ACE1","DCP","DCP1","MGC26566",NA,NA,NA,NA,NA,NA,NA,NA
"CD156C","ADAM10","KUZ","MADM","HST18717",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD156B","ADAM17","TACE","CSVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD156A","ADAM8","MS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD166","ALCAM","MEMD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD246","ALK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD13","ANPEP","LAP1","PEPN","GP150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD296","ART1","ART2","RT6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD297","ART4","DOK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD298","ATP1B3","ATPB3","FLJ29027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD185","BLR1","CXCR5","MDR15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD292","BMPR1A","ALK3","ACVRLK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD293","BMPR1B","ALK6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD147","BSG","5F7","EMMPRIN","TCSF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD157","BST1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD317","BST2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD272","BTLA","BTLA1","FLJ16065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD277","BTN3A1","BTF5","BT31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD88","C5R1","C5A","C5AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD191","CCR1","CKR1","CMKBR1","HM145","MIP1AR","SCYAR1",NA,NA,NA,NA,NA,NA,NA
"CD192","CCR2","CCCKR2","CCR2A","CCR2B","CKR2","CKR2A","CKR2B","CMKBR2","MCP1R",NA,NA,NA,NA
"CD193","CCR3","CCCKR3","CKR3","CMKBR3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD194","CCR4","CCCKR4","CKR4","CMKBR4","CHEMR13","HGCN",NA,NA,NA,NA,NA,NA,NA
"CD195","CCR5","CCCKR5","CKR5","CMKBR5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD196","CCR6","BN1","CKR6","DCR2","CKRL3","DRY6","GPR29","CMKBR6","GPRCY4","STRL22",NA,NA,NA
