Inputted_Name,Matched_GO_term,Matched_Descriptive_GO_name
FCGRIII,http://purl.obolibrary.org/obo/GO_0033001,Fc-gamma receptor III complex
FCGRIIICOMPLEX,http://purl.obolibrary.org/obo/GO_0033001,Fc-gamma receptor III complex
FCGAMMARECEPTORIII,http://purl.obolibrary.org/obo/GO_0033001,Fc-gamma receptor III complex
FCGAMMARECEPTORIIICOMPLEX,http://purl.obolibrary.org/obo/GO_0033001,Fc-gamma receptor III complex
IMMUNOGLOBULIN,http://purl.obolibrary.org/obo/GO_0019814,immunoglobulin complex
IMMUNOGLOBULINCOMPLEX,http://purl.obolibrary.org/obo/GO_0019814,immunoglobulin complex
IG,http://purl.obolibrary.org/obo/GO_0019814,immunoglobulin complex
IGCOMPLEX,http://purl.obolibrary.org/obo/GO_0019814,immunoglobulin complex
IMMUNOGLOBULINA,http://purl.obolibrary.org/obo/GO_0071745,IgA immunoglobulin complex
IMMUNOGLOBULINACOMPLEX,http://purl.obolibrary.org/obo/GO_0071745,IgA immunoglobulin complex
IGA,http://purl.obolibrary.org/obo/GO_0071745,IgA immunoglobulin complex
IGACOMPLEX,http://purl.obolibrary.org/obo/GO_0071745,IgA immunoglobulin complex
IMMUNOGLOBULIND,http://purl.obolibrary.org/obo/GO_0071738,IgD immunoglobulin complex
IMMUNOGLOBULINDCOMPLEX,http://purl.obolibrary.org/obo/GO_0071738,IgD immunoglobulin complex
IGD,http://purl.obolibrary.org/obo/GO_0071738,IgD immunoglobulin complex
IGDCOMPLEX,http://purl.obolibrary.org/obo/GO_0071738,IgD immunoglobulin complex
IGE,http://purl.obolibrary.org/obo/GO_0071742,IgE immunoglobulin complex
IGECOMPLEX,http://purl.obolibrary.org/obo/GO_0071742,IgE immunoglobulin complex
IMMUNOGLOBULINE,http://purl.obolibrary.org/obo/GO_0071742,IgE immunoglobulin complex
IMMUNOGLOBULINECOMPLEX,http://purl.obolibrary.org/obo/GO_0071742,IgE immunoglobulin complex
IMMUNOGLOBULING,http://purl.obolibrary.org/obo/GO_0071735,IgG immunoglobulin complex
IMMUNOGLOBULINGCOMPLEX,http://purl.obolibrary.org/obo/GO_0071735,IgG immunoglobulin complex
IGG,http://purl.obolibrary.org/obo/GO_0071735,IgG immunoglobulin complex
IGGCOMPLEX,http://purl.obolibrary.org/obo/GO_0071735,IgG immunoglobulin complex
IMMUNOGLOBULINM,http://purl.obolibrary.org/obo/GO_0071753,IgM immunoglobulin complex
IMMUNOGLOBULINMCOMPLEX,http://purl.obolibrary.org/obo/GO_0071753,IgM immunoglobulin complex
IGM,http://purl.obolibrary.org/obo/GO_0071753,IgM immunoglobulin complex
