Name,Markers
Basophils,"CD19-,CD8-,CD34-,CD20-,CD123+,CD11c-,CD7-,CD16-,CD3-,HLADR-,CD64-"
CD4 T cells,"CD19-,CD4+,CD8-,CD34-,CD20-,CD123-,CD11c-,CD16-,CD3+,HLADR-,CD64-"
CD8 T cells,"CD19-,CD4-,CD8+,CD34-,CD20-,CD123-,CD11c-,CD7+,CD16-,CD3+,HLADR-,CD64-"
CD16- NK cells,"CD19-,CD34-,CD20-,CD123-,CD11c-,CD7+,CD16-,CD3-,HLADR-,CD64-"
CD16+ NK cells,"CD19-,CD34-,CD123-,CD11c-,CD7+,CD16+,CD3-,HLADR-,CD64-"
CD34+CD38+CD123- HSPCs,"CD19-,CD8-,CD34+,CD20-,CD45-,CD123-,CD11c-,CD7-,CD16-,CD38+,CD3-,CD64-"
CD34+CD38+CD123+ HSPCs,"CD19-,CD8-,CD34+,CD20-,CD45-,CD123+,CD11c-,CD7-,CD16-,CD38+,CD3-,CD64-"
CD34+CD38lo HSCs,"CD19-,CD8-,CD34+,CD20-,CD45-,CD123-,CD11c-,CD7-,CD16-,CD38-,CD3-,CD64-"
Mature B cells,"CD19+,CD8-,CD34-,CD123-,CD11c-,CD7-,CD16-,CD3-"
Plasma B cells,"CD19+,CD8-,CD34-,CD123-,CD11c-,CD7-,CD16-,CD38+,CD3-,HLADR-"
Pre B cells,"CD19+,CD8-,CD34-,CD123-,CD11c-,CD7-,CD16-,CD38+,CD3-,HLADR+,CD64-"
Pro B cells,"CD19+,CD8-,CD34+,CD45-,CD123-,CD11c-,CD7-,CD16-,CD38+,CD3-,CD64-"
Monocytes,"CD19-,CD8-,CD34-,CD20-,CD123-,CD11c+,CD7-,CD3-,HLADR+"
pDCs,"CD19-,CD8-,CD34-,CD20-,CD123+,CD11c-,CD7-,CD3-,HLADR+,CD64-"
