CD_NAME,Alternative.suggestion.1,Alternative.suggestion.2,Alternative.suggestion.3,Alternative.suggestion.4,Alternative.suggestion.5,Alternative.suggestion.6,Alternative.suggestion.7,Alternative.suggestion.8,Alternative.suggestion.9,Alternative.suggestion.10,Alternative.suggestion.11,Alternative.suggestion.12
CD1,CD1A,CD1B,CD1C,CD1D,CD1E,,,,,,,
CD107,CD107A,CD107B,,,,,,,,,,
CD11,CD11A,CD11B,CD11C,CD11D,,,,,,,,
CD120,CD120A,CD120B,,,,,,,,,,
CD121,CD121A,CD121B,,,,,,,,,,
CD128A,CD181,,,,,,,,,,,
CD128B,CD182,,,,,,,,,,,
CD140,CD140A,CD140B,,,,,,,,,,
CD156,CD156A,CD156B,CD156C,,,,,,,,,
CD158,CD158A,CD158B1,CD158B2,CD158C,CD158D,CD158E,CD158F,CD158G,CD158H,CD158I,CD158J,CD158K
CD158B,CD158B1,CD158B2,,,,,,,,,,
CD159,CD159A,CD159C,,,,,,,,,,
CD16,CD16A,CD16B,,,,,,,,,,
CD167,CD167A,CD167B,,,,,,,,,,
CD172,CD172A,CD172B,CD172G,,,,,,,,,
CD172AB,CD172A,CD172B,,,,,,,,,,
CD179,CD179A,CD179B,,,,,,,,,,
CD202,CD202B,,,,,,,,,,,
CD203,CD203C,,,,,,,,,,,
CD210,CDW210A,CDW210B,,,,,,,,,,
CD213,CD213A1,CD213A2,,,,,,,,,,
CD213A,CD213A1,CD213A2,,,,,,,,,,
CD218,CD218A,CD218B,,,,,,,,,,
CD235,CD235A,CD235B,,,,,,,,,,
CD235AB,CD235A,CD235B,,,,,,,,,,
CD240,CD240CE,CD240D,,,,,,,,,,
CD3,CD3D,CD3E,CD3G,,,,,,,,,
CD300,CD300A,CD300C,,,,,,,,,,
CD307,CD307A,CD307B,CD307C,CD307D,CD307E,,,,,,,
CD42,CD42A,CD42B,CD42C,CD42D,,,,,,,,
CD451,CD45,,,,,,,,,,,
CD452,CD45,,,,,,,,,,,
CD49,CD49A,CD49B,CD49C,CD49D,CD49E,CD49F,,,,,,
CD62,CD62E,CD62L,CD62P,,,,,,,,,
CD66,CD66A,CD66B,CD66C,CD66D,CD66E,CD66F,,,,,,
CD79,CD79A,CD79B,,,,,,,,,,
CD8,CD8A,CD8B,CD8ALPHABETA,,,,,,,,,
CD85,CD85A,LILRA6,CD85C,CD85D,CD85F,CD85G,CD85H,CD85I,CD85J,CD85K,,
CD8ALPHA,CD8A,,,,,,,,,,,
CD8BETA,CD8B,,,,,,,,,,,
CD901,CD90,,,,,,,,,,,
CD902,CD90,,,,,,,,,,,
F480,EMR1,,,,,,,,,,,
FCER1,FCER1A,FCER1B,FCER1G,,,,,,,,,
GH2AX,H2AX,,,,,,,,,,,
GRANB,GRANZYMEB,,,,,,,,,,,
IFNG1,IFNGR1,,,,,,,,,,,
IFNG2,IFNGR2,,,,,,,,,,,
IL18R,IL18R1,,,,,,,,,,,
INTEGRINB7,ITGB7,,,,,,,,,,,
PDCA1,BST2,,,,,,,,,,,
RORGT,RORG,,,,,,,,,,,
T1/ST2,IL1RL1,,,,,,,,,,,
T1ST2,IL1RL1,,,,,,,,,,,
THY11,CD90,,,,,,,,,,,
THY12,CD90,,,,,,,,,,,
